,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Ticker
0,2022-12-31,USD,346747000000,128777000000,20535000000,51355000000,6820000000,54180000000,217970000000,42951000000,68044000000,None,None,None,291347000000,114095000000,30820000000,16422000000,60924000000,290020000000,137286000000,57918000000,20592000000,11483000000,1743000000,152734000000,None,109400000000,9740000000,99627000000,111143000000,59893000000,53107000000,56727000000,None,3240000000,66399000000,15842407000,AAPL
1,2022-09-30,USD,352755000000,135405000000,23646000000,48304000000,4946000000,60932000000,217350000000,42117000000,72340000000,None,None,None,292870000000,120805000000,24658000000,21223000000,54428000000,302083000000,153982000000,64115000000,20312000000,21239000000,9982000000,148101000000,812000000,110100000000,11128000000,98959000000,233256000000,60845000000,49142000000,50672000000,None,-3068000000,64849000000,15943425000,AAPL
2,2022-06-30,USD,336309000000,112292000000,27502000000,48231000000,5433000000,42242000000,224017000000,40335000000,71516000000,None,None,None,307072000000,131077000000,20729000000,16386000000,52605000000,278202000000,129873000000,48343000000,19928000000,24991000000,10982000000,148329000000,None,108700000000,14009000000,94700000000,119682000000,48811000000,53629000000,58107000000,None,5289000000,62115000000,16095378000,AAPL
3,2022-03-31,USD,350662000000,118180000000,28098000000,51511000000,5460000000,45400000000,232482000000,39304000000,70020000000,None,None,None,335183000000,141219000000,23413000000,15809000000,51959000000,283263000000,127508000000,52682000000,20420000000,16658000000,6999000000,155755000000,None,113000000000,9659000000,103323000000,119999000000,50248000000,52432000000,67399000000,None,12712000000,61181000000,16207568000,AAPL
4,2021-12-31,USD,381191000000,153154000000,37119000000,63913000000,5876000000,65253000000,228037000000,39245000000,68454000000,None,None,None,338496000000,138683000000,26794000000,18112000000,50109000000,309259000000,147574000000,74362000000,20276000000,16169000000,5000000000,161685000000,None,117800000000,11169000000,106629000000,122800000000,49167000000,55056000000,71932000000,None,14435000000,58424000000,16340851000,AAPL
5,2021-09-30,USD,351002000000,134836000000,34940000000,62639000000,6580000000,51506000000,216166000000,39440000000,70283000000,None,None,None,318994000000,127877000000,27699000000,14111000000,48849000000,287912000000,125481000000,54763000000,19512000000,15692000000,6000000000,162431000000,769000000,118700000000,9613000000,109106000000,241783000000,47493000000,53325000000,63090000000,None,5562000000,57365000000,16426786000,AAPL
6,2021-06-30,USD,329840000000,114423000000,34050000000,61696000000,5178000000,33908000000,215417000000,38615000000,70242000000,None,None,None,328650000000,131948000000,27646000000,13641000000,44854000000,265560000000,107754000000,40409000000,19681000000,16039000000,8000000000,157806000000,None,128339000000,8039000000,105752000000,120840000000,43625000000,52054000000,64280000000,None,9233000000,54989000000,16556942000,AAPL
7,2021-03-31,USD,337158000000,121465000000,38466000000,69834000000,5219000000,33036000000,215693000000,37815000000,69465000000,None,None,None,338696000000,134539000000,31368000000,13376000000,43339000000,267980000000,106385000000,40127000000,19495000000,13003000000,5000000000,161595000000,None,129203000000,8003000000,108642000000,120629000000,45660000000,52953000000,69178000000,None,15261000000,54203000000,16686305000,AAPL
8,2020-12-31,USD,354054000000,154106000000,36010000000,76826000000,4973000000,58620000000,199948000000,37933000000,67560000000,None,None,None,355132000000,118745000000,40816000000,13687000000,43270000000,287830000000,132507000000,63846000000,18995000000,12762000000,5000000000,155323000000,None,124962000000,7762000000,99281000000,110595000000,48504000000,56042000000,66224000000,None,14301000000,51744000000,16823263000,AAPL
9,2020-09-30,USD,323888000000,143713000000,38016000000,90943000000,4061000000,37445000000,180175000000,36766000000,66760000000,None,None,None,345644000000,100887000000,52927000000,11264000000,42522000000,258549000000,105392000000,42296000000,16843000000,13793000000,4996000000,153157000000,637000000,125873000000,8773000000,98667000000,216860000000,42684000000,54490000000,65339000000,None,14966000000,50779000000,16976763000,AAPL
10,2020-06-30,USD,317344000000,140065000000,33383000000,93025000000,3978000000,32075000000,177279000000,35687000000,65230000000,None,None,None,353851000000,100592000000,59642000000,10987000000,41000000000,245062000000,95318000000,35325000000,16113000000,18675000000,11166000000,149744000000,None,118309000000,7509000000,94048000000,110987000000,35005000000,55696000000,72282000000,None,24136000000,48696000000,4283939000,AAPL
11,2020-03-31,USD,320400000000,143753000000,40174000000,94051000000,3334000000,30677000000,176647000000,35889000000,62854000000,None,None,None,345514000000,98793000000,53877000000,15691000000,41965000000,241975000000,96094000000,32421000000,15328000000,20421000000,10029000000,145881000000,None,115992000000,10392000000,89086000000,107777000000,37324000000,56795000000,78425000000,None,33182000000,48032000000,4323987000,AAPL
12,2019-12-31,USD,340618000000,163231000000,39771000000,107162000000,4097000000,39946000000,177387000000,37031000000,60959000000,None,None,None,374351000000,99899000000,67391000000,12026000000,40457000000,251087000000,102161000000,45111000000,14673000000,15214000000,4990000000,148926000000,None,119324000000,10224000000,93078000000,107861000000,36263000000,55848000000,89531000000,None,43977000000,45972000000,4384959000,AAPL
13,2019-09-30,USD,338516000000,162819000000,48844000000,100557000000,4106000000,45804000000,175697000000,37378000000,58579000000,None,None,None,362952000000,105341000000,51713000000,12352000000,32978000000,248028000000,105718000000,46236000000,13622000000,16240000000,5980000000,142310000000,None,117760000000,10260000000,91807000000,209135000000,37720000000,50503000000,90488000000,None,45898000000,45174000000,4443236000,AAPL
14,2019-06-30,USD,322239000000,134973000000,50530000000,94614000000,3355000000,26474000000,187266000000,37636000000,56348000000,None,None,None,370690000000,115996000000,44084000000,10530000000,33634000000,225783000000,89704000000,29115000000,None,23482000000,9953000000,136079000000,None,116029000000,13529000000,84936000000,108059000000,31673000000,51143000000,96456000000,None,53724000000,43371000000,4531395000,AAPL
15,2019-03-31,USD,341998000000,123346000000,37988000000,80092000000,4884000000,26278000000,218652000000,38746000000,54290000000,None,None,None,414334000000,145319000000,42104000000,12092000000,34587000000,236138000000,93772000000,30443000000,None,22429000000,11924000000,142366000000,None,113805000000,10505000000,90201000000,112922000000,35368000000,52165000000,105860000000,None,64558000000,42801000000,4607284000,AAPL
16,2018-12-31,USD,373719000000,140828000000,44771000000,86427000000,4988000000,36981000000,232891000000,39597000000,51929000000,None,None,None,446799000000,158608000000,41656000000,12432000000,34686000000,255827000000,108283000000,44293000000,None,21741000000,11969000000,147544000000,None,112372000000,9772000000,92989000000,115529000000,36703000000,54555000000,117892000000,None,80510000000,40970000000,4729803000,AAPL
17,2018-09-30,USD,365725000000,131339000000,25913000000,25913000000,3956000000,48995000000,234386000000,41304000000,49099000000,None,None,None,448287000000,170799000000,40388000000,12087000000,22283000000,258578000000,115929000000,55888000000,14766000000,20748000000,11964000000,142649000000,None,111984000000,8784000000,93735000000,220132000000,33327000000,48914000000,107147000000,None,70400000000,40201000000,4754986000,AAPL
18,2018-06-30,USD,349197000000,115761000000,31971000000,70970000000,5936000000,26367000000,406209000000,38117000000,47251000000,None,None,None,243743000000,172773000000,38999000000,12488000000,22546000000,234248000000,88548000000,38489000000,10281000000,17472000000,11974000000,191394000000,None,108598000000,5498000000,97128000000,115871000000,25184000000,45694000000,114949000000,None,79436000000,38624000000,4842917000,AAPL
