,AAPL,MSFT,META,AMZN,GOOG,HUYA,KC,VNET,ANGI,TWOU,MU,RNG,IQV,FSLY,QTWO,TWLO,AKAM,DBX,WIX,VMW,NTNX,NFLX,ZM,BOX,IT,DOCU,NEWR,SPLK,ESTC,AYX,COUP,APPN,APPF,PANW,OKTA,PD,FIVN,WDAY,ADBE,BL,SMAR,ADSK,QLYS,ANSS,DT,HUBS,NOW,PCTY,ANET,VEEV,TEAM,CSGP,MDB,PAYC,CRWD,ZS,TTD,AZPN,DDOG,SHY,TLT,LQD,HYG,REM,IVV,ASHR,VGK,EWC,INDA,EWJ,EWG,ACWI,FM,EEM,UUP,BITO,GSG,IWM,FXE,FXY,FXB,FXC,CYB,FXA,FXF,XHB,XRT,XTN,FENY,PSJ,VFH,VDC,VPU,VIS,V,VHT,VAW,RY,BAM,SU,ASML,JPM,ARKK,IMO,AMD,NVDA,Z,BCE,NTR,CRM,OXY,CVX,XOM,ADM,RTX,LMT,INTC,TSM,SHOP,AB
AAPL,1.0,0.8567659072371626,0.6547418969742308,0.8237911101870884,0.7723072261272316,0.3226379220957577,0.42270449875503163,0.3267613753177664,0.6378302012042094,0.5797336639087172,0.6530747024268716,0.6447889987767624,0.6392567357104022,0.6544449374342974,0.6912402021391052,0.6836853720867826,0.6128225340062847,0.4681554855746484,0.48563117653217114,0.12497628892697703,0.08106114350110857,0.4132474797918564,0.5954540707453265,-0.005757424471645888,-0.043393678909019455,0.6854743730229428,0.6055954907824205,0.7613800567079808,0.7932517095413688,0.6318132654896237,0.6069061253083792,0.7582188356736355,0.27495611959397503,0.7120558379704247,0.6976268944335037,0.6751318748689663,0.6901331633971101,0.6926598117909404,0.7069652872832222,0.4340902685319069,0.6240528836271098,0.6680801450045533,0.5411144042304321,0.7452783082608735,0.5978710930209747,0.7533774141597884,0.7437095097865879,0.3445041066776542,0.42219919731073074,0.7050809973912653,0.8142160110617589,-0.16532082319523655,0.7890194160962892,0.536549628018738,0.6922580850118146,0.7535699112632037,0.809135004581441,-0.4551091644104973,0.7490178150508356,0.5525558784211747,0.641224031466639,0.6261267630967096,0.6539565468217395,0.6630000797847694,0.8177280546133402,0.50250600178182,0.4093494146561021,0.6427929854767955,0.5792908244991154,0.5952884381077893,0.36963275302916826,0.7177211496070911,0.6480923750971772,0.5796844697779333,-0.4739861070921603,0.6922011123619742,-0.07738370183455129,0.7577688986631557,0.3657319901037997,0.5103720043885652,0.5153765793683115,0.5949470610707548,0.5395886053795278,0.5539563810358007,0.34279234455642654,0.5394993431019018,0.7390225675422258,0.752107032692021,-0.49510087225334504,0.8777512848255223,0.5684832497905402,0.40297770483494966,0.24094367684171017,0.4059351273816628,0.3789685496937309,0.2951979241208575,0.40800252822076705,0.5897023874859425,0.6836985991794932,-0.34824577153001135,0.4153272604730748,0.21830999770263923,0.7906857861089367,-0.3558440746403608,0.7560582219366505,0.6461086445118398,0.6102530070452167,0.5640689200783497,0.34740787187357586,0.7998433500173823,-0.4348215234708101,-0.4424490812539535,-0.5422018187492549,-0.15933344390031576,0.0071056059340397345,-0.32141215842471743,0.6037549962791783,0.6383879580256712,0.6434648571140474,0.6985517043708761
MSFT,0.8567659072371626,1.0,0.8423807511298982,0.8270598020343507,0.9000767510665391,0.5871574925199473,0.6638078076356526,0.47138127927185275,0.8120319569306451,0.7745423135264082,0.8100482623024171,0.7961957704443736,0.6893089986337972,0.7934150855834035,0.8312169132895002,0.8247498213781113,0.7487517245659396,0.49475767251964836,0.47665197818472566,0.2604660541363088,-0.010808934565111622,0.4170876447492475,0.7733237365390268,-0.06862332422270548,-0.21252105237254892,0.8607108069358657,0.5871363691447948,0.8800935759456565,0.7493297147946236,0.5647133182131248,0.7682796639475447,0.8011199669041602,0.13983450677624884,0.6285745540304981,0.8776016396960531,0.7899578650105739,0.8300601892879267,0.8087045728157392,0.9067062942992342,0.6608541050986169,0.7428476709653584,0.5577462409506078,0.30925241999430053,0.862537201145327,0.7693950400933877,0.865869683197818,0.9035972666154483,-0.002918695045989019,0.27055114761572185,0.7565744172374097,0.7913225394850683,-0.41091245628981404,0.8945157831917251,0.2859238919470612,0.6509752507333896,0.7815563749154375,0.7109341079746349,-0.7270529798722809,0.8377778088328459,0.8097341470944712,0.8493054853534967,0.8454226819933429,0.7993785448884718,0.8018378333889045,0.8857784006044864,0.7575771191341172,0.6081476055632795,0.7958899449133192,0.5023780696839648,0.7931239688694853,0.5813116914085101,0.854624710825308,0.838603982211851,0.8032419543334225,-0.7707827231869095,0.8361363677281209,0.021586305922180853,0.7492327024666405,0.6524098987065754,0.7738454260507033,0.7826965454479096,0.7932033809863894,0.8107510747129173,0.7820470132305403,0.5140846591578522,0.619298206584495,0.8047676792919304,0.8299361554069308,-0.6355026254707138,0.8936492835160166,0.610324976045703,0.42728987029090465,0.2022612161415288,0.40196371270411796,0.44120511104903104,0.3195964281084803,0.5541020509279527,0.7398434793284586,0.4642172073414671,-0.2905614925305376,0.5518962915216938,0.3018133872679522,0.8784426856162811,-0.441659474373905,0.9248877102190685,0.7898849150971933,0.7507869784721548,0.7169608718374442,0.30889247498374733,0.9025831654809225,-0.6324625942540781,-0.5302742289957086,-0.6840712850486285,-0.3386677380997664,0.1394211155720072,-0.3810314585287417,0.81651883855176,0.835535483305786,0.7713658955005162,0.7370481904511127
META,0.6547418969742308,0.8423807511298982,1.0,0.6787495922357822,0.78411252197946,0.729105736462996,0.7920916484883923,0.5578862144724079,0.80192219235501,0.8202996948807851,0.7820883782799871,0.8097960824588154,0.52980153090553,0.8740399525641999,0.7797164415812988,0.8431676280312086,0.6242908032085431,0.29247492721785917,0.5590211281050633,0.20309831475547108,-0.0222449280240579,0.40980905440682497,0.7574680600497853,-0.19423082512215295,-0.33645588569649315,0.8642706461868687,0.6838161948527756,0.7483918431920945,0.6024920666909848,0.4720726978190124,0.7889660568716923,0.6740167725844473,0.07306797206372827,0.4582287913438041,0.8430437962496619,0.7030230505614242,0.7625397800188813,0.7769531977192674,0.8481308576108494,0.7006501333268182,0.7656225231283174,0.48624789219909736,0.1409470222396131,0.8110108842383013,0.7558979647326998,0.7899032094373326,0.7703243301199525,-0.23131060430208436,0.12308367459339016,0.5724513550657144,0.6885781996081046,-0.5092852302787592,0.7620688053394427,-0.012238643766191288,0.4685456666002236,0.6963190144126795,0.5758237619308222,-0.7523763079457988,0.6984991629310157,0.8417680588913659,0.8174510920173343,0.811014484228007,0.7377876929641474,0.7111443497679809,0.7305153866199998,0.7809852568085544,0.6253313261488013,0.6855751678973377,0.3403162984630314,0.7581336784173093,0.6524456022962561,0.7617725514734143,0.7925783278290097,0.8018137681134738,-0.7536664052723041,0.8033742620976683,-0.07385452802792186,0.5740415715939561,0.6835696892407594,0.7839422367101307,0.7536189884381841,0.7125895731932774,0.7865863905128848,0.672603853660245,0.4535571737300587,0.6185153461792523,0.7245536968953289,0.7174116012752011,-0.6780613801618085,0.7002374772493418,0.5121241201557051,0.23194264005404144,-0.020632148652387366,0.28123218558957286,0.34707764254081747,0.04923588597917226,0.48207964393876657,0.7069324220773967,0.581599098934516,-0.2678158374544071,0.5018195806618795,0.3174573027578853,0.8255619102806646,-0.48352673479977853,0.852621477885948,0.7364740874469357,0.7131792935887646,0.5972705713989659,0.17512460860874854,0.8661153023720342,-0.7548499141713323,-0.6283246462247721,-0.6802034074878611,-0.5509293028274458,-0.03748683165872249,-0.498364008826055,0.7875266821623222,0.8675485919707657,0.8048227612041748,0.5592397508628966
AMZN,0.8237911101870884,0.8270598020343507,0.6787495922357822,1.0,0.9319778297431093,0.3809383829271897,0.45994866905726023,0.5445419101108153,0.8388659359798925,0.628732468299426,0.7533669796757145,0.8059689386556995,0.5648201793252214,0.6533211869148624,0.9027304370065985,0.8579709891034373,0.8234669977978376,0.41873810948418205,0.33781837715344726,0.053073728993049726,-0.13228108852683196,0.29446690984968776,0.7863665066177142,-0.20643945490649718,-0.3693112606503408,0.8129252674166388,0.42777523389454364,0.8057916739334101,0.930889430802018,0.5573303594527865,0.6588081790140466,0.8723891036147339,-0.052317833730957115,0.5944714768872719,0.8211451520499006,0.5941200622640278,0.8316709771406632,0.6821652589352963,0.7730819963803772,0.4891441462043632,0.6017207914489706,0.4656725185331933,0.5562557733749476,0.6023454772217017,0.5766666730691707,0.7259496353480551,0.8205492604985047,0.23777536773890545,-0.011060359579617356,0.7040358432460327,0.9518955967349999,-0.41676749903565685,0.9111997057901081,0.4880985962035001,0.8673845760786565,0.9200490049818443,0.779234534911548,-0.6309391920503619,0.9314527902079737,0.636125093381566,0.8013230545611014,0.6907129820068041,0.6324945524553417,0.7668555156045573,0.7402471805272066,0.6530176606469497,0.2777448662804425,0.6981184720038033,0.6495420101909825,0.5392830161429767,0.266249499137196,0.6634852015927802,0.8254275872995316,0.6624662789750322,-0.5851480616480258,0.8018269496693876,0.17314481107711702,0.6694494869393223,0.3892934196221041,0.6187894148232469,0.5887032950295648,0.7991026400147477,0.6706440861278944,0.6813269923927593,0.21844051862461908,0.34268605891074877,0.7089052801807381,0.7272079889662759,-0.6866307481652484,0.8312535925253276,0.5106076813668059,0.17455169993705702,0.21052240385954105,0.11838680254850588,0.09165310650401938,0.17563751520507018,0.3076610821468102,0.5726828990013686,0.6373762492759508,-0.35844850177695764,0.21121057518796255,0.04111022215546546,0.8943028281332098,-0.5330827874967813,0.7772650935072728,0.48079520787178337,0.5907940725942332,0.6983261853022193,0.47149692542301563,0.8034124953662762,-0.5371542167723781,-0.564201900301285,-0.8172830131783589,-0.21571869576235853,-0.17479496772066808,-0.6119780289751805,0.7993292329304269,0.6371527489995008,0.6466528298328742,0.7000896256634976
GOOG,0.7723072261272316,0.9000767510665391,0.78411252197946,0.9319778297431093,1.0,0.5130135652557702,0.6041138108441616,0.6089359382756401,0.9095533171822735,0.7663790050743694,0.8499700774228421,0.8762210042880673,0.6134458731579424,0.7444930564421179,0.9340829220303302,0.9152824629596418,0.8714599230145716,0.42138204148,0.35952486508795967,0.118220698704667,-0.15696535087291058,0.30114189539975594,0.8781240555376957,-0.26076185836996296,-0.45608291429249087,0.8851449202250438,0.4144653742523359,0.8357684241801957,0.8477256362299959,0.44363964127243954,0.7170964257125927,0.8900607434525123,-0.09627266017650128,0.5436335392254178,0.9025616086876257,0.6395610529794479,0.874559025752993,0.7268156504689978,0.8869922211821805,0.585327862636362,0.6492952126882598,0.41438872826398576,0.37463686577145566,0.6823198420204457,0.642188425628935,0.7766976040394514,0.9006348799770877,-0.020183725478139368,-0.04412938149765349,0.7482219929513019,0.8732642676129374,-0.5525513953769391,0.9267393906962299,0.2984881328698062,0.7953402852548662,0.8990315114595596,0.6863650566724754,-0.7788132295966113,0.9407637740654872,0.7830523773697853,0.9015511273139456,0.8116219619178758,0.7036536539070387,0.832502178018847,0.7807873088903826,0.7810892809720673,0.41015660072786614,0.7741273258748987,0.5668869169631833,0.6660048721153932,0.4127630993694178,0.7438236734690439,0.9050573595777327,0.7809066012396658,-0.7488214544664824,0.8613956628991764,0.20496981818813478,0.6500406184582569,0.5595324345859816,0.7589937733377077,0.7440998015679042,0.8846604213946426,0.7987568426992733,0.7795335365121479,0.30730507012562347,0.40096430226554514,0.7452246748163588,0.7622498380457482,-0.7382235940212949,0.8199802605255248,0.5330262087691071,0.23415650566202292,0.14496483163836646,0.135611469764286,0.18219568156296057,0.19246340077490853,0.39957471767825686,0.6632931593170102,0.35639279782945343,-0.2884339406743027,0.3139374180947127,0.12202467408497812,0.9277142501591129,-0.5089917221242137,0.88098358130778,0.5918910328181148,0.6718318526557092,0.7840308148123861,0.4044053173377446,0.8680408753198019,-0.6354101415096621,-0.5931636101156952,-0.8559920781720044,-0.33176600541732676,-0.07244762155358248,-0.5971930024945155,0.9176283362798363,0.759637673570666,0.7258928967463768,0.7140552586787399
HUYA,0.3226379220957577,0.5871574925199473,0.729105736462996,0.3809383829271897,0.5130135652557702,1.0,0.8660766533732491,0.6665478203302705,0.6003310693845858,0.7027981965769834,0.6735155257924844,0.6666587899181581,0.6237323387469675,0.7246351131409163,0.5852021549733573,0.6256471790105321,0.4608066296453863,0.46085914829765906,0.5643478682632709,0.49334672392696843,0.1974102539229809,0.6093125226763472,0.5521699805639113,0.12084465057795879,-0.00776515591892578,0.7344311137589158,0.5766119094794264,0.634474295433067,0.30398099755687663,0.3049597840302288,0.7996018793943647,0.3798067180748472,0.2669367006746734,0.11265979380124182,0.6967323701493912,0.7351062477137295,0.5808836303929353,0.7038898375282167,0.6998475548964466,0.8057312712676741,0.759859971069203,0.44366450571530514,-0.2618058174000563,0.7111886688839891,0.7603260526949183,0.7201999773809422,0.6919285100427057,-0.32118684987878576,0.11066935451503894,0.40711771369691513,0.4031302283569682,-0.22953743753742556,0.5534111377747483,-0.06201044577080638,0.043258834400092,0.46440109963469417,0.361583445868708,-0.7143038966372025,0.5015213049671047,0.7325896617085365,0.6700316010045095,0.7834043536402389,0.7674666954260744,0.6410050724123902,0.6700687528768277,0.8240433867291217,0.838644983217193,0.6825497173770713,0.2412384029909663,0.8436692860308205,0.8519584784089234,0.7889747719271609,0.6755932286878159,0.879311704526678,-0.8182777596694738,0.6235573126041845,-0.19480098541057939,0.6182483888723002,0.8556028154742353,0.8062655422836177,0.7917769475924492,0.5506369739234144,0.8253965206321995,0.7086996658723369,0.7310009416804589,0.7438021313490178,0.7248640341720215,0.6838636893272325,-0.3774399767644009,0.5955308781958164,0.6831620052665623,0.331412163454599,-0.050569902530128705,0.519039643692127,0.627178870005722,0.27858992251402775,0.6379921164312764,0.8046973886351063,0.38232083807429107,-0.17542652719950563,0.7318416196747293,0.6483286783591297,0.6363768370539806,-0.28933025777747745,0.6521370047392884,0.7139925055658279,0.7884428820156167,0.43523340001312083,-0.054490394249875486,0.6283525375277502,-0.691376143576598,-0.35891364631145883,-0.32952587177816667,-0.4830378260556048,0.309520657910309,-0.2491332541757695,0.5645315381879527,0.8562745485488439,0.7794193609523463,0.47914572772447656
KC,0.42270449875503163,0.6638078076356526,0.7920916484883923,0.45994866905726023,0.6041138108441616,0.8660766533732491,1.0,0.6787333999991454,0.6779798825897393,0.7078837733609463,0.7664727354005663,0.783138571745844,0.5544038776049064,0.8596532053216768,0.6153927711159947,0.7471731012563843,0.5083592712164102,0.45173607480079575,0.704897498407419,0.5162876768624581,0.2123634142619577,0.6854641904506797,0.6938731361682773,-0.15627152332953792,-0.08245005897645291,0.7975533604568671,0.6753287003878962,0.5869444652970495,0.3771712873945772,0.1388597563743161,0.8420717524816644,0.439909750511367,0.27784892370687264,0.17288431326863368,0.7944472530853997,0.7116467531286441,0.5661780316088679,0.7468711704725599,0.7583655341992203,0.7744583056302689,0.7836189423874779,0.5377423251344899,-0.22051194344273828,0.7743171487078705,0.7634178497325232,0.7611681417283234,0.706002022512916,-0.3317365578067004,0.19686395698492212,0.5428275044394956,0.47742803900183095,-0.22989837900970508,0.5843374587800924,-0.04638055951581706,0.13983220517315198,0.5781090686687202,0.45867993637043,-0.7097053286001669,0.5765670129745964,0.8171713824424632,0.7485301786576553,0.834439384585575,0.7885682270533488,0.5799719808191992,0.6793288659767173,0.8374562567945407,0.7786135586997357,0.6294289024423974,0.33930667204886333,0.8534638166470454,0.8308317169758532,0.7783518397136517,0.700638836761745,0.8721179686456457,-0.8293760530294202,0.6802592890587054,-0.29761031088278067,0.586744182519247,0.8537346398467869,0.8402062475030367,0.8355967383635338,0.5497425437961551,0.7847628050748472,0.6057552991859977,0.6983383976891823,0.7204452153533286,0.7136311109368725,0.6555701093918699,-0.5087755508019876,0.6479975054088262,0.6504226147565055,0.27137546030218634,-0.22608358243155738,0.4520487515023443,0.5126016153453973,0.2132590493251069,0.5101947248615654,0.7750630141512566,0.1984560637207603,-0.32860493877489555,0.6786816901983986,0.634426298313676,0.749587321860016,-0.3827114552034167,0.7339549233207658,0.7505341089013646,0.7888027860299465,0.3918765722951127,-0.20573394305768006,0.7455910568106586,-0.797782562462765,-0.49185541056910115,-0.4547654633942478,-0.5422379452665967,0.17771992181119645,-0.33105116326942674,0.6407348412150397,0.8708137694189862,0.891549957101031,0.47798992906605475
VNET,0.3267613753177664,0.47138127927185275,0.5578862144724079,0.5445419101108153,0.6089359382756401,0.6665478203302705,0.6787333999991454,1.0,0.6995749068821967,0.604297275293164,0.6884484274331618,0.7897067642022426,0.544298563081108,0.6345024308390819,0.6816259350310729,0.7260206579346965,0.6691231183177262,0.5688832381974809,0.5129828855491542,0.3074778522953678,0.1496868652864542,0.4685238336323966,0.7124813289069801,-0.08976821152497727,-0.17051708667694218,0.7389172197160727,0.4330821678776095,0.48821179283932353,0.5161845086403203,0.07923527429306353,0.7867374414649047,0.459250346202521,-0.015244969656193862,-0.05317430740109148,0.6762618757037941,0.41284634084341687,0.6439443013579046,0.5631471773618295,0.6273471153603282,0.6501663262847195,0.5894268595543609,0.4556212831124215,-0.01157212435990155,0.38884189461174706,0.5600563319645482,0.5125497261286561,0.6088094228164581,-0.024653406420237525,-0.22692201561837771,0.49994141758629596,0.5734643078817349,-0.13610554664345056,0.5668370920880715,0.23731274025027502,0.2907835586178481,0.7090918189578836,0.42418722549589594,-0.6002704746880536,0.671878204434457,0.5776137615430453,0.678738123044271,0.6732352102172846,0.6155793929416443,0.6474153946566886,0.5468303902228143,0.6913099518014116,0.4439910788895747,0.5707858489646392,0.6076820812109684,0.5912047544024168,0.49600358052709176,0.5978480785190792,0.7156469320330411,0.7547272758466181,-0.6566568739676835,0.5656672112764688,-0.05042902572561357,0.5017817298837403,0.5702118799320284,0.6690557218364016,0.6225722068583527,0.5853502972672168,0.5965441037435383,0.537628229426749,0.3592815167432988,0.40137711228752065,0.6484671072863569,0.5690992782812704,-0.48272424117627455,0.53416514336708,0.6236234802066672,0.1767100157855262,-0.050600914672678354,0.17000413901722627,0.17475644600826176,0.21427948760004467,0.3351437778529938,0.6358066730631846,-0.13971712941761286,-0.2852496279218064,0.3303576608996752,0.38340417522047837,0.7150075431736667,-0.34927395104688813,0.5185219132757796,0.2941383767363996,0.5603356415043953,0.4372906573272042,-0.013818218969753928,0.4959160601236007,-0.6400940062664799,-0.4328755552308655,-0.5564021266933167,-0.2580065420345834,-0.11608297568520413,-0.5307538309241222,0.6347368951691837,0.6425512774896037,0.72266205402326,0.47310464785373246
ANGI,0.6378302012042094,0.8120319569306451,0.80192219235501,0.8388659359798925,0.9095533171822735,0.6003310693845858,0.6779798825897393,0.6995749068821967,1.0,0.7802671538507369,0.8578220001845673,0.8959403409746436,0.6376339725381382,0.7899946081884097,0.9369589468830098,0.920325476083241,0.7972510792031012,0.43110624403184866,0.3421263404149496,0.23926824915146083,-0.251241316994697,0.26701021885583054,0.9393513488077788,-0.30672671888456843,-0.5144583004006947,0.9070207393372246,0.46782157329746515,0.7406873497320285,0.7889514477063975,0.29035886541759043,0.7570553235428478,0.8083884485452851,-0.12869509568087625,0.3123517619458721,0.9060940502329372,0.5461116662855581,0.9219796039302677,0.6462475184543937,0.9132748763861424,0.6765357789231501,0.6051511564983235,0.45243873012204794,0.22249961175186966,0.6443698138744457,0.6346582742775138,0.7196174305185139,0.8580386547902016,-0.09595041459533343,-0.2048375724935603,0.7821554864330571,0.8288715355285392,-0.5456459051529376,0.8733880586896516,0.22056191310288453,0.6617263290506608,0.8539077559615417,0.5874166338021782,-0.794986169635735,0.8901743050745419,0.844159666330314,0.9283129586351103,0.852168038912978,0.71924312104637,0.8591356574399776,0.6983682143147601,0.8528491272194507,0.43706224516927644,0.7035864848864977,0.520523421942723,0.6847140927129289,0.4627820600953866,0.7061124198151297,0.8907407801382603,0.8223064663743598,-0.7685912826436382,0.7815375479363693,0.13343567054307665,0.581594324975359,0.5823087283583827,0.7947849612709388,0.7482412494117646,0.879090477831834,0.7824889277165071,0.720257561420153,0.30774169764325515,0.44737283392175936,0.6990549140125982,0.7168167243297381,-0.7851372978049109,0.7420311729596519,0.5273183019677442,0.15690886464724313,0.0717734323901516,0.07770093648720068,0.17359511801354366,0.0816737028013839,0.3294554759314486,0.6582310096688866,0.48725913749922,-0.29056095826511624,0.28778479823499925,0.16199787301837257,0.9062602849468298,-0.5648352646967629,0.8701829295293958,0.5098656026891806,0.6324874250254432,0.6987015395581097,0.20199499368384607,0.8251951261578665,-0.7283035922442136,-0.6905311331525549,-0.8555088400974864,-0.4864095374040785,-0.16598625767158245,-0.7136110624704243,0.8998412332009696,0.7959644944851796,0.7379761086460958,0.7054283215318193
TWOU,0.5797336639087172,0.7745423135264082,0.8202996948807851,0.628732468299426,0.7663790050743694,0.7027981965769834,0.7078837733609463,0.604297275293164,0.7802671538507369,1.0,0.7308776335518254,0.7922257678159255,0.6994301928619744,0.7978544157943922,0.7759496898241225,0.7980288080764926,0.7145548069893303,0.44676478020424903,0.517849932581746,0.19064598509156716,0.008086576178099577,0.39539197073447185,0.7904233568232477,-0.04517019252274958,-0.2752438224093808,0.8126992294093347,0.6112345131064559,0.7660620616200083,0.6034430115123819,0.34928791785842733,0.7168891063941487,0.6918656278242165,0.09701855864760234,0.389171605270484,0.8087248026524475,0.6469179132197429,0.7496213755369534,0.6966925492566305,0.8285245669756156,0.7345850435184306,0.660220240918332,0.4422759962938299,0.07797634723240714,0.7111357567824506,0.7790908253015599,0.6929385712686398,0.7868598562630964,-0.247136679569908,0.02244532857907053,0.6452452218169142,0.603669900507654,-0.40966746645509633,0.7453880320048025,0.0507087068704235,0.4705746750200201,0.6839603648352263,0.4063809028020247,-0.7491082562263159,0.695504437852651,0.7436068150725249,0.7913599223340283,0.7935522298772384,0.7180651674027204,0.7816496113357442,0.7468705978695955,0.7825151957758456,0.6258491386375505,0.7380867540083599,0.41517101634986214,0.7373822173800296,0.624179474715878,0.7709211126242494,0.7635097931135277,0.7933464018345683,-0.7679108298294699,0.7320301456824952,0.005101355589144647,0.6235062703145617,0.6722537972976725,0.7399376010173836,0.7548604291691753,0.765907734210267,0.7821973371102335,0.7204667429232737,0.4558061929918125,0.5545438784544695,0.7393355232882552,0.7273646985597733,-0.6079603321806172,0.6917304391856138,0.6064858304658735,0.3396461380203923,0.06316974094984937,0.3112979687399441,0.42292722096766483,0.30290692241497225,0.5166184986250256,0.7657067959787159,0.7972351330934768,-0.19086539180977968,0.4942014484272098,0.36137380926518053,0.8125379070451604,-0.37234312883791604,0.7684612225123428,0.6567321135749724,0.6714269772154479,0.6671379984029274,0.15673268909003368,0.7848192458880209,-0.6698390664401292,-0.527527327736061,-0.6298577270483263,-0.4394168449259695,0.12542234276317576,-0.40820014061502075,0.7964612740544111,0.7939397713732038,0.7811263593010643,0.6604877358036556
