,Ticker,weekly,monthly,3m,6m,12m
0,AAPL,Strong Bear,Strong Bull,Strong Bull,Strong Bull,Strong Bear
1,MSFT,Weak Bull,Strong Bull,Strong Bull,Strong Bull,Strong Bear
2,META,Weak Bear,Strong Bull,Strong Bull,Strong Bull,Weak Bear
3,AMZN,Strong Bear,Strong Bull,Strong Bull,Strong Bear,Strong Bear
4,GOOG,Strong Bear,Strong Bull,Strong Bull,Weak Bull,Strong Bear
5,HUYA,Weak Bull,Strong Bear,Weak Bear,Weak Bull,Strong Bear
6,KC,Strong Bull,Strong Bull,Strong Bull,Strong Bull,Weak Bull
7,VNET,Strong Bear,Strong Bear,Strong Bear,Strong Bear,Strong Bear
8,ANGI,Strong Bear,Strong Bear,Weak Bear,Strong Bear,Strong Bear
9,TWOU,Strong Bear,Strong Bear,Weak Bull,Weak Bull,Strong Bear
10,MU,Weak Bull,Weak Bull,Strong Bull,Strong Bull,Strong Bear
11,RNG,Strong Bear,Strong Bear,Strong Bear,Strong Bear,Strong Bear
12,IQV,Strong Bear,Strong Bear,Strong Bear,Chop,Strong Bear
13,FSLY,Strong Bull,Strong Bull,Strong Bull,Strong Bull,Chop
14,QTWO,Strong Bear,Strong Bear,Weak Bear,Strong Bear,Strong Bear
15,TWLO,Strong Bear,Weak Bear,Strong Bull,Weak Bear,Strong Bear
16,AKAM,Strong Bull,Strong Bull,Strong Bear,Weak Bear,Strong Bear
17,DBX,Strong Bear,Weak Bull,Strong Bear,Strong Bull,Strong Bear
18,WIX,Weak Bear,Strong Bull,Strong Bull,Strong Bull,Chop
19,VMW,Strong Bull,Strong Bull,Weak Bull,Strong Bull,Weak Bull
20,NTNX,Strong Bear,Strong Bear,Weak Bear,Strong Bull,Weak Bear
21,NFLX,Strong Bull,Chop,Strong Bull,Strong Bull,Strong Bear
22,ZM,Strong Bear,Strong Bear,Weak Bull,Strong Bear,Strong Bear
23,BOX,Strong Bear,Strong Bear,Strong Bear,Weak Bull,Strong Bear
24,IT,Weak Bull,Strong Bear,Strong Bear,Strong Bull,Weak Bull
25,DOCU,Strong Bear,Weak Bear,Strong Bull,Strong Bull,Strong Bear
26,NEWR,Weak Bear,Strong Bear,Strong Bull,Strong Bull,Weak Bull
27,SPLK,Strong Bear,Strong Bear,Weak Bull,Strong Bull,Strong Bear
28,ESTC,Strong Bear,Strong Bear,Strong Bull,Strong Bear,Strong Bear
29,AYX,Strong Bear,Strong Bear,Strong Bull,Weak Bear,Strong Bear
30,COUP,Error,Error,Error,Error,Error
31,APPN,Strong Bear,Strong Bear,Strong Bull,Chop,Strong Bear
32,APPF,Chop,Strong Bear,Strong Bull,Strong Bull,Strong Bull
33,PANW,Strong Bear,Weak Bull,Strong Bull,Strong Bull,Strong Bear
34,OKTA,Strong Bear,Strong Bull,Strong Bull,Strong Bull,Strong Bear
