,AAPL,MSFT,META,AMZN,GOOG,HUYA,KC,VNET,ANGI,TWOU,MU,RNG,IQV,FSLY,QTWO,TWLO,AKAM,DBX,WIX,VMW,NTNX,NFLX,ZM,BOX,IT,DOCU,NEWR,SPLK,ESTC,AYX,COUP,APPN,APPF,PANW,OKTA,PD,FIVN,WDAY,ADBE,BL,SMAR,ADSK,QLYS,ANSS,DT,HUBS,NOW,PCTY,ANET,VEEV,TEAM,CSGP,MDB,PAYC,CRWD,ZS,TTD,AZPN,DDOG,SHY,TLT,LQD,HYG,REM,IVV,ASHR,VGK,EWC,INDA,EWJ,EWG,ACWI,FM,EEM,UUP,BITO,GSG,IWM,FXE,FXY,FXB,FXC,CYB,FXA,FXF,XHB,XRT,XTN,FENY,PSJ,VFH,VDC,VPU,VIS,V,VHT,VAW,RY,BAM,SU,ASML,JPM,ARKK,IMO,AMD,NVDA,Z,BCE,NTR,CRM,OXY,CVX,XOM,ADM,RTX,LMT,INTC,TSM,SHOP,AB
2023-03-28,157.65,275.23,200.68,97.24,101.36,3.35,6.1,3.2,2.06,6.58,59.28,28.54,189.87,16.42,23.0,62.09,76.58,20.96,93.3,122.61,24.82,323.52,68.54,25.27,314.73,57.04,70.65,89.26,55.29,56.22,,40.33,120.15,190.76,82.16,31.65,62.5,189.68,373.4,63.59,46.27,197.27,124.31,317.71,39.21,403.24,429.08,181.09,163.0,175.57,155.26,67.4,213.93,273.03,128.64,110.25,58.24,208.37,67.73,82.08,104.53,107.98,73.38,20.87,397.4,29.27,58.93,33.19,38.4,57.49,27.5,88.45,25.23,39.01,27.84,16.88,19.83,173.45,100.19,71.21,118.88,72.0,25.345,66.3883,96.99,65.68,60.94,69.49,21.93,96.8459,76.17,190.49,143.75,184.97,220.33,233.72,171.95,93.52,31.08,30.23,639.71,128.88,37.19,48.76,94.56,264.1,42.46,44.42,72.15,192.3,62.21,159.49,107.12,78.55,96.8,471.44,29.29,90.81,44.31,35.43
2023-03-27,158.28,276.38,202.84,98.04,103.06,3.39,6.3,3.29,2.12,6.76,59.79,27.44,190.91,16.39,22.75,62.34,76.37,21.13,95.52,122.34,24.99,327.66,68.57,25.38,312.46,57.17,69.73,90.86,55.4,56.59,,40.61,119.94,192.53,83.33,32.23,62.72,188.15,373.15,63.81,46.62,198.75,126.06,316.94,39.39,400.16,431.31,181.39,167.96,177.54,154.99,67.88,210.65,272.48,131.39,111.87,59.9,206.84,65.6,82.17,104.34,108.16,73.42,20.9,398.14,29.18,58.98,32.99,38.65,57.38,27.47,88.37,25.19,38.46,27.94,16.6,19.74,173.7,99.71,70.78,118.2495,71.57,25.221,65.7698,97.2646,65.3,60.41,69.28,21.6,97.532,76.13,190.15,143.27,183.97,221.81,235.09,170.9,93.55,31.07,29.73,644.05,128.49,37.76,47.39,96.61,265.31,42.77,44.43,72.51,191.26,59.65,157.65,105.8,77.75,96.91,473.39,29.18,90.66,45.07,34.86
2023-03-24,160.25,280.57,206.01,98.13,106.06,3.42,6.29,3.175,2.15,6.51,61.16,26.86,188.35,16.03,22.62,61.48,76.05,21.16,94.67,122.28,24.23,328.39,69.04,25.49,312.11,56.62,69.13,90.58,55.12,56.39,,40.2,118.61,191.55,82.25,31.64,62.83,190.43,374.96,62.83,47.12,200.22,123.84,315.7,39.13,395.77,432.9,182.25,168.94,175.58,152.72,67.14,216.79,271.56,131.54,111.93,60.45,199.75,65.24,82.52,106.85,109.47,73.6,20.56,397.45,29.35,58.3,32.62,38.55,57.13,27.11,88.06,24.86,38.67,28.03,17.16,19.24,171.79,99.35,71.24,117.66,71.17,25.3839,65.7888,96.8982,65.19,60.21,68.55,21.14,96.5748,74.95,188.97,143.14,182.52,221.04,233.88,169.67,92.19,31.02,28.97,647.53,124.91,37.73,46.28,97.95,267.79,43.43,44.24,71.77,190.06,58.18,156.06,103.53,76.61,96.44,474.54,29.36,92.79,44.98,33.49
2023-03-23,158.93,277.66,204.28,98.71,106.26,3.47,6.01,3.47,2.22,6.485,61.34,27.24,188.0,15.94,22.77,62.38,75.05,21.11,96.94,119.06,25.05,320.37,69.19,25.37,308.54,57.21,70.03,91.25,55.88,56.85,,40.67,118.02,193.89,84.26,32.02,62.66,188.04,369.0,63.67,47.69,201.14,123.24,314.65,39.41,397.21,440.47,180.85,169.39,174.07,153.29,65.85,220.07,272.32,134.54,112.56,60.19,204.74,67.44,82.48,106.4,109.13,73.75,20.01,394.84,29.59,58.76,32.57,38.72,56.96,27.43,87.85,24.84,38.77,27.86,17.58,19.15,170.25,100.08,71.35,118.35,71.25,25.5344,66.1892,97.3,65.16,59.94,68.38,21.07,96.3185,74.7757122409807,185.71251448802,138.781320109368,181.876932284579,222.59,231.060545025414,168.084570870399,92.66,31.24,29.62,664.16,126.84,37.8,46.37,100.28,271.91,43.36,43.93,73.23,187.44,58.48,154.52,103.41,75.13,96.0,467.9,29.03,94.59,45.79,33.67
2023-03-22,157.83,272.29,199.81,98.7,104.22,3.31,5.23,2.98,2.18,6.485,58.17,27.68,190.01,15.54,22.16,62.69,74.15,20.86,92.2,118.27,24.84,293.9,68.75,25.46,312.1,56.59,68.69,90.58,54.84,56.52,,39.73,116.57,190.89,82.29,31.49,61.89,184.29,361.71,62.62,46.85,198.38,120.18,309.13,38.16,387.21,433.51,177.17,166.06,173.86,149.03,65.99,211.13,266.85,133.26,108.86,57.89,201.88,66.19,82.24,106.4,108.82,74.04,20.3988537704014,393.846222681309,29.1,58.75,32.72,38.53,56.71,27.43,87.62,24.6,38.24,27.82,16.42,19.24,171.006530539818,100.31,71.04,118.0843,71.25,25.37,66.201,97.0983,65.18,60.66,69.0,21.38,95.233,75.5611505160821,186.180429582956,140.299194294566,182.335412056888,220.04,231.449284133131,168.453090017247,93.26,31.05,30.01,640.37,127.18,38.39,47.22,97.58,264.68,41.95,43.83,74.37,186.51,58.68,156.07,104.59,76.97,96.7,468.9,28.13,92.62,44.96,33.93
2023-03-21,159.28,273.78,202.16,100.61,105.84,3.32,5.28,3.37,2.24,7.31,58.63,29.49,196.76,16.06,23.35,65.58,75.7,21.15,94.4,118.57,25.74,305.79,71.85,26.11,314.06,58.51,71.02,94.43,57.37,58.13,,41.57,120.44,194.49,84.48,32.64,64.52,190.7,374.22,65.5,48.01,207.15,123.43,314.42,39.24,401.3,445.46,182.24,168.08,177.08,154.3,67.86,218.56,277.35,136.02,113.02,59.24,203.2,69.67,81.86,105.0,108.19,73.97,20.9150291456135,400.558209181276,29.03,59.09,32.93,38.63,56.87,27.48,88.57,24.7,38.09,28.03,17.41,19.21,175.998040199597,99.42,70.34,117.4811,71.26,25.305,66.05,96.62,66.32,61.74,70.58,21.84,96.8936,77.8081005182708,187.892799717615,143.156369231409,186.102919751077,221.95,235.246966185444,171.441083099797,94.67,31.68,30.43,642.13,130.55,40.34,47.73,95.93,261.99,42.63,44.16,75.22,188.68,60.24,159.31,107.04,77.69,98.01,474.76,28.46,92.5,45.74,35.46
2023-03-20,157.4,272.23,197.81,97.71,101.93,3.92,5.18,3.07,2.14,7.0,57.64,28.23,191.81,15.33,22.47,62.58,75.14,20.52,88.38,117.78,25.41,305.13,69.3,25.87,308.15,55.79,70.36,89.77,55.17,56.43,,40.61,117.98,189.43,84.24,31.27,61.22,190.64,362.88,63.76,46.43,200.42,124.67,313.6,38.37,389.75,435.15,177.53,164.2,173.54,148.9,66.76,210.92,270.37,132.74,105.46,56.84,198.76,66.21,82.17,105.91,107.67,73.17,20.4385595684946,395.419655718393,28.85,57.98,32.81,38.55,56.52,26.88,87.41,24.45,37.75,28.04,17.17,19.02,172.809850396944,98.99,70.88,118.1573,71.59,25.25,66.53,95.8984,65.38,60.61,68.88,21.11,95.1198,75.5114392328478,187.823110235391,146.073068646103,183.491578439232,218.15,233.602300729718,169.22996821871,94.12,31.25,29.72,646.33,127.14,38.22,46.6,96.81,259.0,40.64,44.45,73.83,185.25,58.98,154.58,102.45,76.93,97.53,475.7,29.16,90.04,43.88,35.13
2023-03-17,155.0,279.43,195.61,98.95,102.46,3.87,5.06,3.24,2.15,7.45,56.66,30.07,190.89,15.42,22.92,62.86,73.61,20.01,89.26,118.27,25.48,303.5,69.19,25.61,302.49,58.52,70.14,89.15,54.9,57.23,,41.59,117.11,189.12,83.83,32.07,60.41,188.77,358.14,66.75,46.4,199.11,121.27,311.09,38.76,397.48,441.0,180.51,163.26,172.63,158.25,66.93,219.77,276.94,133.12,105.49,58.51,199.49,68.62,82.27,106.85,107.99,73.37,20.2400305780284,391.5358653104,28.64,56.8715624865747,32.36,38.38,55.71,26.44,86.57,24.5,37.61,28.2,16.65,18.89,170.598043721353,98.41,70.64,117.0,71.16,25.3117,66.22,96.26,64.7506719345692,60.3955489597605,69.0170095869026,20.67,94.9874,74.5569825947499,185.274466314037,144.842896103851,180.979906643105,217.39,230.781450281411,165.923255874021,92.65,30.72,28.77,633.69,125.81,38.68,44.84,97.84,257.25,40.6,43.68,72.71,184.85,58.48,152.34,99.84,74.26,95.75,465.87,29.81,89.47,44.68,34.98
2023-03-16,155.85,276.2,204.93,100.04,101.07,3.92,5.24,3.07,2.25,8.29,56.57,31.97,196.43,16.11,24.31,64.18,72.53,19.96,90.04,120.55,25.41,310.06,70.59,25.53,305.95,58.81,72.41,89.75,56.3,57.35,,42.73,121.13,189.77,84.36,31.95,61.85,191.72,353.29,66.15,46.3,200.59,122.02,314.08,38.69,399.12,442.39,178.45,162.68,175.78,157.35,67.75,221.25,280.06,133.52,108.13,58.88,205.59,69.21,81.86,105.27,107.45,73.81,20.9448084941834,396.236247547766,28.72,57.7383855307815,32.7,38.7,56.06,26.8,87.52,24.82,37.84,28.36,15.41,19.06,175.330512959667,97.98,69.83,116.497,71.28,25.2159,65.92,95.8348,65.7479100669359,61.7708931439927,70.7925591903812,21.0492024716195,95.7145,77.1419693229317,186.767812361705,146.281404318581,184.577976160572,217.45,234.200360895437,168.662249533025,95.26,31.23,29.17,630.56,130.75,39.24,45.8,96.6,255.41,41.53,43.62,72.68,187.3,59.04,154.29,101.03,76.47,98.08,473.24,30.18,89.3,44.67,35.31
2023-03-15,152.99,265.44,197.75,96.2,96.55,3.86,4.66,3.15,2.25,8.4,54.13,32.38,195.27,14.57,23.18,63.4,71.94,19.66,87.11,119.4,24.72,303.79,71.03,26.16,310.82,56.55,70.71,87.86,55.22,56.71,,41.21,120.21,183.8,83.21,27.84,62.09,184.36,333.61,63.96,45.13,195.79,120.64,308.96,38.35,391.08,422.26,176.73,153.8,170.84,158.0,67.35,212.13,277.88,129.32,107.67,55.09,203.94,67.54,82.19,106.1,107.61,73.33,20.9051026960902,389.534219484742,28.72,56.8815259698415,32.32,38.04,54.94,26.46,86.12,24.7,37.27,28.39,15.05,19.01,172.969259887077,97.65,69.98,115.94,71.15,25.2748,65.45,95.67,64.5512243080959,61.1131198384903,69.7850844153737,20.8214829716913,93.2806,75.63074631261,186.638389037574,145.289329687733,182.365312911604,216.37,231.708443538275,166.78977386796,94.88,30.83,29.27,606.69,128.26,38.07,45.71,89.68,242.28,40.63,43.41,72.98,182.91,56.8,153.8,101.62,76.81,95.83,473.31,28.41,86.2664564755297,43.54,35.08
